
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio promedio del periodo"

"Fecha de consulta: 01/10/2024 08:17:53"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de publicación en el DOF. Cotizaciones promedio"
"Periodo disponible","Ene 1991 - Sep 2024"
"Periodicidad","Mensual"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF18561"
01/01/2003,10.5991
01/02/2003,10.9306
01/03/2003,10.9246
01/04/2003,10.6162
01/05/2003,10.2494
01/06/2003,10.5000
01/07/2003,10.4464
01/08/2003,10.7562
01/09/2003,10.9285
01/10/2003,11.1731
01/11/2003,11.1268
01/12/2003,11.2563
01/01/2004,10.9253
01/02/2004,11.0121
01/03/2004,11.0044
01/04/2004,11.2633
01/05/2004,11.5122
01/06/2004,11.3843
01/07/2004,11.4690
01/08/2004,11.3954
01/09/2004,11.4860
01/10/2004,11.3911
01/11/2004,11.3819
01/12/2004,11.2079
01/01/2005,11.2577
01/02/2005,11.1426
01/03/2005,11.1386
01/04/2005,11.1208
01/05/2005,10.9809
01/06/2005,10.8292
01/07/2005,10.6862
01/08/2005,10.6798
01/09/2005,10.7780
01/10/2005,10.8327
01/11/2005,10.6778
01/12/2005,10.6268
01/01/2006,10.5557
01/02/2006,10.4826
01/03/2006,10.7269
01/04/2006,11.0312
01/05/2006,11.0829
01/06/2006,11.3924
01/07/2006,11.0027
01/08/2006,10.8726
01/09/2006,10.9810
01/10/2006,10.9076
01/11/2006,10.9061
01/12/2006,10.8582
01/01/2007,10.9426
01/02/2007,10.9930
01/03/2007,11.1203
01/04/2007,10.9861
01/05/2007,10.8250
01/06/2007,10.8326
01/07/2007,10.8049
01/08/2007,11.0408
01/09/2007,11.0368
01/10/2007,10.8331
01/11/2007,10.8769
01/12/2007,10.8474
01/01/2008,10.9141
01/02/2008,10.7716
01/03/2008,10.7355
01/04/2008,10.5217
01/05/2008,10.4437
01/06/2008,10.3303
01/07/2008,10.2273
01/08/2008,10.0976
01/09/2008,10.6105
01/10/2008,12.5561
01/11/2008,13.0818
01/12/2008,13.3983
01/01/2009,13.8694
01/02/2009,14.5566
01/03/2009,14.7132
01/04/2009,13.4521
01/05/2009,13.1960
01/06/2009,13.3415
01/07/2009,13.3637
01/08/2009,13.0032
01/09/2009,13.4126
01/10/2009,13.2413
01/11/2009,13.1216
01/12/2009,12.8563
01/01/2010,12.8047
01/02/2010,12.9547
01/03/2010,12.5939
01/04/2010,12.2336
01/05/2010,12.7118
01/06/2010,12.7225
01/07/2010,12.8279
01/08/2010,12.7457
01/09/2010,12.8281
01/10/2010,12.4498
01/11/2010,12.3327
01/12/2010,12.3936
01/01/2011,12.1353
01/02/2011,12.0727
01/03/2011,12.0082
01/04/2011,11.7384
01/05/2011,11.6510
01/06/2011,11.7994
01/07/2011,11.6716
01/08/2011,12.2056
01/09/2011,12.9754
01/10/2011,13.4645
01/11/2011,13.6778
01/12/2011,13.7528
01/01/2012,13.4605
01/02/2012,12.7940
01/03/2012,12.7557
01/04/2012,13.0599
01/05/2012,13.6038
01/06/2012,13.9619
01/07/2012,13.3718
01/08/2012,13.1857
01/09/2012,12.9588
01/10/2012,12.8814
01/11/2012,13.0828
01/12/2012,12.8684
